Country,Pop,X,Y,GHI,SolarRestriction,WindVel,TravelHours,NightLights,Elevation,Slope,LandCover,GridDistCurrent,GridDistPlan,SubstationDist,RoadDist,HydropowerDist,Hydropower,HydropowerFID,X_deg,Y_deg,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartCalibrated,IsUrban,PopFuture,ElecStart,NewConnections
Benin,18354.26367,232.9864197,722.6239013999998,2041,1.0,5.0,3.0,0,50.0,0.236285657,14.0,8.369563102999999,8.369563102999999,66.41130066,11.19545174,20.37225533,290.09899900000005,7616,2.0929526180879554,6.520878129676723,3,1,5,5,5,4.540000000000001,1.1926712266563528,0.07743075958216943,23007.882788011517,1,38467.87962916704,1,15459.99684115552
Benin,19107.44336,242.9864197,722.6239013999998,2041,1.0,5.0,1.0,0,44.0,0.380995721,14.0,2.206626177,2.206626177,57.22566986,1.665846944,28.75222015,290.09899900000005,7616,2.1827841464999076,6.520878129676723,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.07743075958216943,23952.026902828566,1,40046.43522665527,1,16094.408323826701
Benin,18308.18164,252.9864197,722.6239013999998,2041,1.0,5.0,4.0,0,45.0,1.040621758,14.0,3.955236912,3.955236912,48.3641777,6.994010447999999,33.26868057,4223.689941,14215,2.27261567491186,6.520878129676723,4,1,5,5,5,4.59,1.2014704120581874,0.07743075958216943,22950.116921511155,1,38371.298365272196,1,15421.181443761041
Benin,31235.08398,262.98641969999994,722.6239013999998,2032,1.0,5.0,0.0,13,22.0,1.336398721,10.0,10.11709976,10.11709976,40.04260635,8.710476875,27.33023834,4223.689941,14215,2.362447203323812,6.520878129676723,4,1,5,5,5,4.59,1.2014704120581874,0.07743075958216943,39154.56179591519,1,65464.214329310846,1,26309.652533395652
Benin,55974.57031,272.98641969999994,722.6239013999998,2041,0.0,5.0,3.0,0,1.0,0.761957705,11.0,8.899763107,8.899763107,32.67609024,13.90675926,24.22971153,4223.689941,14215,2.4522787317357637,6.520878129676723,3,1,1,5,5,2.98,1.0438167680820034,0.07743075958216943,70166.60411753743,1,117314.59630815183,1,47147.9921906144
Benin,75983.84375,282.98641969999994,722.6239013999998,2032,1.0,5.0,0.0,7,1.0,0.43568328,14.0,0.6151881810000001,0.6151881810000001,27.0562973,5.691133022000001,25.04427719,4223.689941,14215,2.542110260147716,6.520878129676723,4,1,5,5,5,4.59,1.2014704120581874,0.07743075958216943,95249.11498574878,1,159251.13683061936,1,64002.021844870585
Benin,391656.3438,292.98641969999994,722.6239013999998,2023,1.0,0.0,0.0,39,22.0,0.380995721,10.0,7.669473647999999,0.496973723,24.42047691,3.57735157,29.45085335,4223.689941,14215,2.631941788559668,6.520878129676723,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.0,490958.58125108544,1,820854.9991533417,1,329896.4179022563
Benin,31549.02539,302.98641969999994,722.6239013999998,2023,1.0,5.0,0.0,6,25.0,0.211340547,14.0,15.955733300000002,10.11831188,25.70362282,1.894487262,36.15922546,4223.689941,14215,2.7217733169716203,6.520878129676723,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.07743075958216943,39548.10126409824,1,66122.19007748703,1,26574.088813388793
Benin,15002.86816,172.9864197,732.6239013999998,2049,1.0,5.0,2.0,6,25.0,0.472563267,14.0,5.620051384,5.386695862000001,60.82456589,13.2328434,29.6628437,171.3970032,7700,1.5539634476162427,6.610714046521803,3,1,5,5,5,4.540000000000001,1.1926712266563528,0.07743075958216943,18806.760015847045,1,31443.839799166555,1,12637.07978331951
Benin,19906.45508,182.9864197,732.6239013999998,2041,1.0,5.0,2.0,0,15.0,0.149440676,14.0,2.285562754,1.784059525,67.57798767,4.483127117,39.66277313,171.3970032,7700,1.643794976028195,6.610714046521803,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.07743075958216943,24953.623498068468,1,41721.04812422914,1,16767.424626160675
Benin,41811.62891,192.9864197,732.6239013999998,2041,1.0,0.0,2.0,6,17.0,0.52833879,14.0,7.345666409,4.772751808,75.05957794,1.040956974,33.62782669,290.09899900000005,7616,1.7336265044401469,6.610714046521803,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.0,52412.72951251624,1,87631.12140740432,1,35218.39189488808
Benin,15900.66895,202.9864197,732.6239013999998,2041,1.0,0.0,4.0,0,25.0,0.380995721,14.0,4.085132599,1.532778502,83.07284546,6.397338867,27.24871063,290.09899900000005,7616,1.823458032852099,6.610714046521803,4,1,5,5,5,4.59,1.2014704120581874,0.0,19932.193087676947,1,33325.50028643202,1,13393.307198755072
Benin,25863.38281,212.9864197,732.6239013999998,2041,1.0,0.0,1.0,5,80.0,2.050878525,14.0,0.825730205,0.825730205,83.0344696,15.03515053,23.54046631,290.09899900000005,7616,1.9132895612640513,6.610714046521803,3,1,5,5,5,4.540000000000001,1.1926712266563528,0.0,32420.896359170147,1,54205.90630199592,1,21785.009942825774
Benin,28975.33789,222.9864197,732.6239013999998,2041,1.0,0.0,1.0,0,7.0,2.220488071,14.0,2.43367219,2.43367219,73.20546722,17.17183685,22.48657417,3166.389893,14227,2.0031210896760037,6.610714046521803,3,1,5,5,5,4.540000000000001,1.1926712266563528,0.0,36321.869942720994,1,60728.11365289506,1,24406.243710174065
Benin,19409.8457,232.9864197,732.6239013999998,2041,1.0,0.0,1.0,0,69.0,0.4483138920000001,14.0,0.49793455,0.49793455,63.42993546,7.769462109,23.11741829,3166.389893,14227,2.0929526180879554,6.610714046521803,4,1,5,5,5,4.59,1.2014704120581874,0.0,24331.101635470262,1,40680.2267545449,1,16349.125119074637
Benin,19868.51172,242.9864197,732.6239013999998,2032,1.0,0.0,1.0,0,66.0,2.284796,14.0,5.669377804,5.643167973,53.73707199,0.06279867900000001,27.62578583,3166.389893,14227,2.1827841464999076,6.610714046521803,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.0,24906.059815037683,1,41641.524334473856,1,16735.464519436173
